county,A08,A18,Sex,Age,A20,B3A__1,B3A__2,B3A__3,B3A__4,B3A__5,B3A__6,B3A__7,B3A__8,B3A__9,B3A__10,B3A__11,B3A__98,B3A__99,S1,S2__1,S6,S7_5,indWeight,Education,mobile_money_access,formal_access_fnl,Access_fnl,Overall_Access_fnl,mobile_money_access_primary,financially_excluded,age_years,age_group_youth,employment_category,internet_access,owns_private_mobile,digital_access_score
Kilifi,Rural,32,Female,26-35,"""None """,1,0,0,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,,I have no idea/I dont know,560.7891845703125,,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,32,31-35,farming,no,yes,1
West Pokot,Rural,21,Female,18-25,"""Primary completed""",0,0,1,0,0,0,0,0,0,0,0,0,0,I donâ€™t own a mobile phone but am able to use someone elseâ€™s phone regularly,0.0,,I have no idea/I dont know,1015.3719482421875,Primary,No,No,Excluded,excluded,No,1,21,18-25,casual_work,no,no,0
Makueni,Rural,19,Female,18-25,"""Secondary completed """,0,0,1,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Strong,I have no idea/I dont know,2833.8583984375,Secondary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,19,18-25,casual_work,yes,yes,2
Bomet,Rural,30,Female,26-35,"""Secondary completed """,0,0,0,1,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Strong,I have no idea/I dont know,579.63134765625,Secondary,Yes,Yes,Formal Prudential,formal only,Yes,0,30,26-30,self_employment,no,yes,1
Kakamega,Rural,26,Female,26-35,"""Some secondary""",0,0,1,0,0,0,0,0,1,0,0,0,0,I donâ€™t own a mobile phone but am able to use someone elseâ€™s phone regularly,0.0,Strong,I have no idea/I dont know,1591.8001708984375,Secondary,No,No,Informal,informal only,No,0,26,26-30,casual_work,no,no,0
West Pokot,Rural,30,Female,26-35,"""None """,1,0,1,0,0,0,0,0,0,0,0,0,0,I donâ€™t own or use a mobile phone/Sina wala situmii simu ya mkononi,,Okay/Fair/Average,I have no idea/I dont know,636.7036743164062,,No,No,Excluded,excluded,No,1,30,26-30,casual_work,no,no,0
Machakos,Rural,33,Female,26-35,"""Some primary """,0,0,1,0,0,0,0,0,1,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Strong,I have no idea/I dont know,1062.749755859375,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,33,31-35,casual_work,no,yes,1
Kisumu,Rural,18,Male,18-25,"""Some secondary""",0,0,1,0,0,0,0,0,1,0,0,0,0,I donâ€™t own a mobile phone but am able to use someone elseâ€™s phone regularly,0.0,Okay/Fair/Average,I have no idea/I dont know,1018.40771484375,Secondary,Yes,No,Excluded,excluded,No,1,18,18-25,casual_work,no,no,0
Tharaka-Nithi,Rural,22,Male,18-25,Some technical training after secondary school,1,0,0,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,1.0,Okay/Fair/Average,I can manage with ease,695.3903198242188,Secondary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,22,18-25,farming,yes,yes,3
Homabay,Rural,28,Female,26-35,"""Some primary """,0,0,1,0,0,0,0,0,0,0,0,0,0,I own a mobile that only I use/Nina simu ambayo ni mimi tu ninaitumia,0.0,Strong,I have no idea/I dont know,514.84765625,Primary,Yes,Yes,Formal Non-Prudential,formal only,Yes,0,28,26-30,casual_work,no,yes,1
